assay,metric,median_TF,median_bias,WRS_p,MW_p,AUC,youden_thr,sens,spec
loMNase,V-channel width (bp),18.717618062372395,0.0,0.0017551950945966092,0.0017551950945966092,1.0,6.708921215961457,1.0,1.0
loMNase,log2(V-in/V-out),1.3644676256868147,0.051824396664409696,0.001873579598675072,0.001873579598675072,1.0,0.5067117145116604,1.0,1.0
loMNase,2D rule (width AND E),,,,,,,1.0,1.0
DNase,V-channel width (bp),20.706882836243558,0.0,0.0018256362383497235,0.0018256362383497235,1.0,9.154892066855576,1.0,1.0
DNase,log2(V-in/V-out),1.5333994293574236,0.0791091167978274,0.001873579598675072,0.001873579598675072,1.0,0.33875674907762404,1.0,1.0
DNase,2D rule (width AND E),,,,,,,1.0,1.0
ATAC,V-channel width (bp),43.90450679980833,0.0,0.0017551950945966092,0.0017551950945966092,1.0,19.998395142799787,1.0,1.0
ATAC,log2(V-in/V-out),1.0629806683505563,0.1812382852915462,0.001873579598675072,0.001873579598675072,1.0,0.3732815147375332,1.0,1.0
ATAC,2D rule (width AND E),,,,,,,1.0,1.0
