motif	n	apex_x	apex_y_channel_width	se_apex_x	se_apex_y	apex_x_lo	apex_x_hi	apex_y_lo	apex_y_hi	pi_enrichment	enrichment_fold	LR	p_chi2	p_perm	delta_aic	loglik_full	loglik_null	status	q_chi2
ATAC_example_Bias_GCC	17509	9.951973471409678	0.0	1.5729328254964832	NA	6.869025133436571	13.034921809382785	NA	NA	0.029582378487555686	1.1112935698392077	52.021694624767406	2.9633625724012505e-11	NA	46.021694624767406	-99841.51650144304	-99867.52734875542	ok	4.938937620668751e-11
ATAC_example_Bias_GCT	11293	10.0	0.0	1.2710655014282468	NA	7.508711617200636	12.491288382799365	NA	NA	0.1030271867102876	1.4870988623055355	366.3184481455537	4.365257638168813e-79	NA	360.3184481455537	-64229.6562622197	-64412.81548629248	ok	2.1826288190844066e-78
ATAC_example_Bias_GGC	16920	10.0	0.0	NA	0.003707276644393131	NA	NA	-0.007266262223010537	0.007266262223010537	0.014406910074925757	1.036872127845477	12.202943044510903	0.006719331202605604	NA	6.202943044510903	-96501.89799966066	-96507.99947118292	ok	0.008399164003257006
ATAC_example_Bias_GTC	13114	7.373530562295594	0.0	0.6942058112479832	0.005242917641883356	6.012887172249547	8.73417395234164	-0.010276118578091378	0.010276118578091378	0.08991330126625877	1.4918437375510183	308.5861054470297	1.378502132571798e-66	NA	302.5861054470297	-74645.1103199179	-74799.40337264142	ok	3.446255331429495e-66
ATAC_example_Bias_GTG	8096	10.0	28.32595494625375	16.815830753847226	NA	-22.95902827754056	42.95902827754056	NA	NA	6.1442471457776506e-06	0.9866201853405392	0.006327986542601138	0.9998663734323209	NA	-5.993672013457399	-46177.81975082333	-46177.8229148166	ok	0.9998663734323209
