motif	n	apex_x	apex_y_channel_width	se_apex_x	se_apex_y	apex_x_lo	apex_x_hi	apex_y_lo	apex_y_hi	pi_enrichment	enrichment_fold	LR	p_chi2	p_perm	delta_aic	loglik_full	loglik_null	status	q_chi2
CREB1	1459	4.675257279318395	28.059960866976663	0.9772812086321646	2.490186172003123	2.759786110399353	6.590728448237438	23.179195969850543	32.94072576410279	0.07104547093589685	1.621856838872024	41.59570926016022	4.888310917023792e-09	NA	35.59570926016022	-8301.020775893317	-8321.818630523398	ok	4.888310917023792e-09
CREM	3838	-10.0	18.935599480349474	1.2543661414877911	2.4668039834501374	-12.458557637316071	-7.541442362683929	14.100663672787205	23.77053528791174	0.06049130302212176	1.586194255145817	56.531653952159104	3.2350527678802493e-12	NA	50.531653952159104	-21862.85131075442	-21891.1171377305	ok	3.882063321456299e-12
CTCF	27181	1.284946522049145	53.031241454654484	0.14455332152998085	0.39930491137447677	1.0016220118503825	1.5682710322479074	52.24860382836051	53.81387908094846	0.21672459436152036	4.025883254267234	6549.461318571761	0.0	NA	6543.461318571761	-151759.78078434433	-155034.5114436302	ok	0.0
NFIC	1072	-3.465520628344144	52.50016878507811	0.6133161259519748	0.9534403752894497	-4.6676202352100145	-2.2634210214782735	50.63142564951079	54.36891192064543	0.10484790157069661	3.092671745901704	96.639978400377	8.200493347057722e-21	NA	90.639978400377	-6066.134823631259	-6114.454812831447	ok	1.6400986694115443e-20
ZBTB33	2096	3.9922161376911895	59.839159432527374	0.7080019625558961	1.7300254413285623	2.6045322910816333	5.379899984300746	56.448309567523395	63.23000929753135	0.05840579465984947	2.1437972343582885	71.64639648628145	1.895219274322016e-15	NA	65.64639648628145	-11919.304868636256	-11955.128066879397	ok	2.842828911483024e-15
ZNF281	6528	4.07387413432216	26.268846526819495	0.6775581439134255	1.5522568360263205	2.7458601722518456	5.401888096392474	23.226423128207905	29.311269925431084	0.07284360359113853	1.5757004514957433	170.64921135689656	9.2153055787592e-37	NA	164.64921135689656	-37148.96738887723	-37234.29199455568	ok	2.76459167362776e-36
