label,candidate_apex_x,loglik,fixed_b,fixed_pi,n,source_file,relative_loglik
CTCF motif,-3.75,-1038396.3323103819,32.73390871924943,0.4850323756521174,200000,source_data\method_B\TF_vplot\from_server_three_assays\TF_fragL_dist_three_assays\loMNase\CTCF_fragL_dist.txt,-2464.315830030828
CTCF motif,-3.5,-1037779.0615124783,32.73390871924943,0.4850323756521174,200000,source_data\method_B\TF_vplot\from_server_three_assays\TF_fragL_dist_three_assays\loMNase\CTCF_fragL_dist.txt,-1847.0450321271783
CTCF motif,-3.25,-1037244.318823899,32.73390871924943,0.4850323756521174,200000,source_data\method_B\TF_vplot\from_server_three_assays\TF_fragL_dist_three_assays\loMNase\CTCF_fragL_dist.txt,-1312.3023435479263
CTCF motif,-3.0,-1036795.3978997476,32.73390871924943,0.4850323756521174,200000,source_data\method_B\TF_vplot\from_server_three_assays\TF_fragL_dist_three_assays\loMNase\CTCF_fragL_dist.txt,-863.3814193964936
CTCF motif,-2.75,-1036435.8484852581,32.73390871924943,0.4850323756521174,200000,source_data\method_B\TF_vplot\from_server_three_assays\TF_fragL_dist_three_assays\loMNase\CTCF_fragL_dist.txt,-503.8320049069589
CTCF motif,-2.5,-1036169.4450354986,32.73390871924943,0.4850323756521174,200000,source_data\method_B\TF_vplot\from_server_three_assays\TF_fragL_dist_three_assays\loMNase\CTCF_fragL_dist.txt,-237.42855514748953
CTCF motif,-2.25,-1036000.142200651,32.73390871924943,0.4850323756521174,200000,source_data\method_B\TF_vplot\from_server_three_assays\TF_fragL_dist_three_assays\loMNase\CTCF_fragL_dist.txt,-68.12572029989678
CTCF motif,-2.0,-1035932.0164803511,32.73390871924943,0.4850323756521174,200000,source_data\method_B\TF_vplot\from_server_three_assays\TF_fragL_dist_three_assays\loMNase\CTCF_fragL_dist.txt,0.0
CTCF motif,-1.75,-1035969.194038263,32.73390871924943,0.4850323756521174,200000,source_data\method_B\TF_vplot\from_server_three_assays\TF_fragL_dist_three_assays\loMNase\CTCF_fragL_dist.txt,-37.17755791195668
CTCF motif,-1.5,-1036115.7655260995,32.73390871924943,0.4850323756521174,200000,source_data\method_B\TF_vplot\from_server_three_assays\TF_fragL_dist_three_assays\loMNase\CTCF_fragL_dist.txt,-183.74904574838
CTCF motif,-1.25,-1036375.6897401713,32.73390871924943,0.4850323756521174,200000,source_data\method_B\TF_vplot\from_server_three_assays\TF_fragL_dist_three_assays\loMNase\CTCF_fragL_dist.txt,-443.673259820207
