assay,metric,median_TF,median_bias,WRS_p,MW_p,AUC,youden_thr,sens,spec
loMNase,V-channel width (bp),18.529628178802795,0.0,0.0024635698785654683,0.0024635698785654683,1.0,6.708921215961457,1.0,1.0
loMNase,log2(V-in/V-out),1.4584480307519212,0.0518243966644096,0.002694262019295913,0.002694262019295913,1.0,0.6417757861672906,1.0,1.0
loMNase,2D rule (width AND E),,,,,,,1.0,1.0
DNase,V-channel width (bp),20.706882836243558,0.0,0.0026004672090365073,0.0026004672090365073,1.0,9.154892066855576,1.0,1.0
DNase,log2(V-in/V-out),1.5333994293574236,0.0791091167978274,0.002694262019295913,0.002694262019295913,1.0,0.6304094709936522,1.0,1.0
DNase,2D rule (width AND E),,,,,,,1.0,1.0
ATAC,V-channel width (bp),44.78444690282177,0.0,0.0024635698785654683,0.0024635698785654683,1.0,19.998395142799787,1.0,1.0
ATAC,log2(V-in/V-out),1.115736499818243,0.1812382852915462,0.002694262019295913,0.002694262019295913,1.0,0.4580046081180493,1.0,1.0
ATAC,2D rule (width AND E),,,,,,,1.0,1.0
