motif	n	apex_x	apex_y_channel_width	se_apex_x	se_apex_y	apex_x_lo	apex_x_hi	apex_y_lo	apex_y_hi	pi_enrichment	enrichment_fold	LR	p_chi2	p_perm	delta_aic	loglik_full	loglik_null	status	q_chi2
ATF2_fragL_dist	746116	0.6424227693658252	43.95913347246296	0.053721328767536755	0.1397901837991263	0.5371289649814531	0.7477165737501973	43.68514471221667	44.23312223270925	0.07939810123529259	1.9956362694602134	30275.80535019189	0.0	NA	30269.80535019189	-4240545.46218549	-4255683.364860586	ok	0.0
CREB1_fragL_dist	210798	0.7866186635087301	44.67607257419024	0.08482580171713165	0.22885129446503055	0.620360092143152	0.9528772348743082	44.22752403703878	45.1246211113417	0.08786741383257829	2.0699528162771186	10391.491137109231	0.0	NA	10385.491137109231	-1197150.1925240231	-1202345.9380925777	ok	0.0
CREB3_fragL_dist	425591	0.35412498616138666	41.75459306999136	0.0926065970726108	0.28269897079500916	0.17261605589906948	0.5356339164237038	41.20050308723314	42.30868305274958	0.060495207898962955	1.7150534833791684	10441.233774774708	0.0	NA	10435.233774774708	-2422257.87028402	-2427478.4871714073	ok	0.0
CREM_fragL_dist	414869	-0.1806317899446462	45.28301943972777	0.06094908817403026	0.15727459826741344	-0.30009200276574555	-0.0611715771235469	44.974761227123636	45.5912776523319	0.08656648502907521	2.15088211620893	19086.75580062531	0.0	NA	19080.75580062531	-2356779.1535778306	-2366322.5314781433	ok	0.0
CTCF_fragL_dist	1039413	2.653008474194535	58.12744987945555	0.013728664878605816	0.03793696968501086	2.6261002910324676	2.6799166573566024	58.053093418872926	58.20180634003817	0.39478867934480455	7.590149098082483	745569.1960237063	0.0	NA	745563.1960237063	-5555801.055317973	-5928585.653329826	ok	0.0
ELF2_fragL_dist	530090	6.212560677520373	21.43832598151347	0.08323069004410799	0.1774664966492232	6.049428525033921	6.375692830006825	21.09049164808099	21.786160314945946	0.08970439286894537	1.6413095124912238	17390.72967464011	0.0	NA	17384.72967464011	-3014822.6871531857	-3023518.051990506	ok	0.0
MLX_fragL_dist	231495	-0.21192616901727862	42.4416005394482	0.07543440470201015	0.21148956115529657	-0.35977760223321853	-0.06407473580133871	42.02708099958382	42.85612007931258	0.09642788486695622	2.108061773564429	12961.18489660928	0.0	NA	12955.18489660928	-1313916.5315222326	-1320397.1239705372	ok	0.0
NFIC_fragL_dist	201406	-0.3584418844293724	48.45534050265183	0.0509903164784297	0.13694715840375485	-0.45838290472709464	-0.2585008641316502	48.18692407218047	48.72375693312319	0.12752090422649587	2.690502109407485	20250.65070426371	0.0	NA	20244.65070426371	-1138650.687738475	-1148776.0130906068	ok	0.0
TFE3_fragL_dist	301661	-0.520383351474821	42.44784332891652	0.0651044085361669	0.18734677026312754	-0.6479879922057081	-0.39277871074393383	42.08064365920079	42.81504299863225	0.1078778545772644	2.2092044686456505	20683.212270243093	0.0	NA	20677.212270243093	-1710267.1189521428	-1720608.7250872643	ok	0.0
ZBTB33_fragL_dist	168383	0.35994137472685683	25.68881428616402	0.10833654632646858	0.24933217276312766	0.14760174392697842	0.5722810055267352	25.200123227548293	26.17750534477975	0.10311492812900071	1.7548839548839072	7909.157446348574	0.0	NA	7903.157446348574	-956465.4257068608	-960420.0044300351	ok	0.0
ZNF281_fragL_dist	501300	-1.6266299818886396	48.031959147229166	0.07021899577039158	0.20322609376105474	-1.764259213598607	-1.4890007501786722	47.6336360034575	48.430282291000836	0.0449338672836263	1.6648165161389796	8690.789463885128	0.0	NA	8684.789463885128	-2854960.759813211	-2859306.1545451535	ok	0.0
