motif	n	apex_x	apex_y_channel_width	se_apex_x	se_apex_y	apex_x_lo	apex_x_hi	apex_y_lo	apex_y_hi	pi_enrichment	enrichment_fold	LR	p_chi2	p_perm	delta_aic	loglik_full	loglik_null	status	q_chi2
ATAC_Bias_GCC_fragL_dist	2196419	7.6449996390620605	0.0	0.0852481967548844	0.00026755145208221757	7.477913173422487	7.812086104701634	-0.0005244008460811464	0.0005244008460811464	0.041360736574265	1.1902371053868537	12491.189211536199	0.0	NA	12485.189211536199	-12521650.60459613	-12527896.199201899	ok	0.0
ATAC_Bias_GCT_fragL_dist	1400516	-9.999666692747045	0.0028171008231012173	16.062143599935116	NA	-41.48146814861987	21.48213476312578	NA	NA	6.147334924418133e-06	1.1139876375964457	1.8126707710325718	0.6121815234197459	NA	-4.187329228967428	-7988237.709940218	-7988238.616275604	ok	0.6121815234197459
ATAC_Bias_GGC_fragL_dist	2146432	-5.693325134355515	0.0	0.08337453816650348	NA	-5.856739229161862	-5.529911039549168	NA	NA	0.041038520101199454	1.1873120907570112	12072.257094301283	0.0	NA	12066.257094301283	-12236745.096094107	-12242781.224641258	ok	0.0
ATAC_Bias_GTC_fragL_dist	1287444	-6.4429761468065925	0.018290529704088804	0.20280015144823954	NA	-6.840464443645142	-6.045487849968043	NA	NA	0.019618418575895986	1.0851151438998772	1735.4033654816449	0.0	NA	1729.4033654816449	-7342432.822618537	-7343300.5243012775	ok	0.0
ATAC_Bias_GTG_fragL_dist	1187713	-5.0365986612019435	0.0	0.1993631379431608	0.00037839329595512454	-5.427350411570539	-4.645846910833348	-0.0007416508600720441	0.0007416508600720441	0.027292458355862685	1.114263605664227	3087.115286855027	0.0	NA	3081.115286855027	-6772913.036677913	-6774456.59432134	ok	0.0
