motif	n	apex_x	apex_y_channel_width	se_apex_x	se_apex_y	apex_x_lo	apex_x_hi	apex_y_lo	apex_y_hi	pi_enrichment	enrichment_fold	LR	p_chi2	p_perm	delta_aic	loglik_full	loglik_null	status	q_chi2
loMNase_example_Bias_AAG	30063	10.0	0.0	NA	NA	NA	NA	NA	NA	6.144174602214718e-06	1.0283813232937646	0.005710169149097055	0.9998854359337886	NA	-5.994289830850903	-171472.80968050478	-171472.81253558936	ok	1.0
loMNase_example_Bias_AGA	28000	10.0	0.0	NA	0.002621407192030499	NA	NA	-0.005137958096379777	0.005137958096379777	0.008580495716364118	1.0822801903695323	11.185840239864774	0.010762262778488992	NA	5.185840239864774	-159700.31637025368	-159705.90929037362	ok	0.017937104630814986
loMNase_example_Bias_AGC	28868	9.221610940921186	20.506838023916366	0.5913765503612026	1.7238651510472378	8.062512902213228	10.380708979629144	17.12806232786378	23.88561371996895	0.009093781368570905	1.044437037059328	31.676346696156543	6.123356270421448e-07	NA	25.676346696156543	-164640.95430502712	-164656.7924783752	ok	1.530839067605362e-06
loMNase_example_Bias_AGG	30887	9.194539101724093	17.095985425859418	0.37985378366775563	0.9703215030362352	8.450025685735293	9.939052517712893	15.194155279908397	18.99781557181044	0.0367605519649173	1.4435425852756776	404.1331831513671	2.8175218362078725e-87	NA	398.1331831513671	-175970.6627031304	-176172.72929470608	ok	1.4087609181039363e-86
loMNase_example_Bias_TGG	25003	10.0	1.54961700683428e-05	NA	NA	NA	NA	NA	NA	6.144174602214718e-06	0.7744867458512065	0.0	1.0	NA	-6.050786024250556	-142611.69860684112	-142611.673213829	ok	1.0
