motif	n	apex_x	apex_y_channel_width	se_apex_x	se_apex_y	apex_x_lo	apex_x_hi	apex_y_lo	apex_y_hi	pi_enrichment	enrichment_fold	LR	p_chi2	p_perm	delta_aic	loglik_full	loglik_null	status	q_chi2
ZFX_loMNase_fragL_dist	200000	-0.7279272236355093	3.3456692175572416	0.06572764982858606	0.1373355631506252	-0.856753417299538	-0.5991010299714806	3.0764915137820164	3.6148469213324668	0.1015612744117925	1.8102690132636017	10290.624709134456	0.0	NA	10284.624709134456	-1135611.1825766729	-1140756.49493124	ok	0.0
SMAD4_loMNase_fragL_dist	200000	2.0079604033808307	0.0	0.1294596281550702	0.0013107235885393559	1.7542195321968932	2.261701274564768	-0.0025690182335371373	0.0025690182335371373	0.0939441367452677	1.6204185893733742	7795.524412176106	0.0	NA	7789.524412176106	-1136858.732725152	-1140756.49493124	ok	0.0
GATA2_loMNase_fragL_dist	200000	10.0	2.625015813523305	0.1939053853546422	0.424917759789161	9.619945444704902	10.380054555295098	1.7921770043365495	3.4578546227100606	0.11701377653851966	1.8452809066485505	12045.375670338515	0.0	NA	12039.375670338515	-1134733.8070960708	-1140756.49493124	ok	0.0
ZBTB7A_loMNase_fragL_dist	200000	-1.0935076046679895	7.690884926877439	0.06051346152799109	0.12766850364709476	-1.212113989262852	-0.974901220073127	7.440654659729134	7.941115194025745	0.1050831507009799	1.9622123075231643	11487.638410763815	0.0	NA	11481.638410763815	-1135012.6757258582	-1140756.49493124	ok	0.0
SMAD2_loMNase_fragL_dist	200000	1.6387359549148726	0.0	0.010291825207621265	NA	1.6185639775079348	1.6589079323218103	NA	NA	0.08550498930929747	1.55584408180291	6571.598949614912	0.0	NA	6565.598949614912	-1137470.6954564326	-1140756.49493124	ok	0.0
GATA1_loMNase_fragL_dist	200000	-10.0	2.771164685827809	0.19639783926848375	0.4325240211281255	-10.384939764966228	-9.615060235033772	1.923417604416683	3.618911767238935	0.11897420638263227	1.8592640800802427	12466.504452197347	0.0	NA	12460.504452197347	-1134523.2427051414	-1140756.49493124	ok	0.0
KLF1_loMNase_fragL_dist	200000	1.024327242138779	12.576080492817322	0.040824755980975985	0.09439051156235552	0.9443107204160661	1.104343763861492	12.391075090155105	12.761085895479539	0.21283162728074578	3.0101662100977555	46675.14181116223	0.0	NA	46669.14181116223	-1117418.924025659	-1140756.49493124	ok	0.0
KLF6_loMNase_fragL_dist	200000	0.8649881108031083	11.820329052654419	0.043355999749454095	0.09789894678627122	0.7800103512941783	0.9499658703120384	11.628447116953327	12.01221098835551	0.18158659334737237	2.631593694476204	34985.87956657354	0.0	NA	34979.87956657354	-1123263.5551479533	-1140756.49493124	ok	0.0
MNT_loMNase_fragL_dist	200000	0.2940186777759479	0.0	0.22632408004135582	0.0013197082848311447	-0.1495765191051095	0.7376138746570053	-0.0025866282382690435	0.0025866282382690435	0.0959602225282766	1.5912565547228847	7937.72762085963	0.0	NA	7931.72762085963	-1136787.6311208103	-1140756.49493124	ok	0.0
PBX2_loMNase_fragL_dist	200000	10.0	0.0	0.375480656033512	NA	9.264057914174316	10.735942085825684	NA	NA	0.05597182795163906	1.3558331689872731	2620.7244380912744	0.0	NA	2614.7244380912744	-1139446.1327121945	-1140756.49493124	ok	0.0
TEAD1_loMNase_fragL_dist	200000	4.168191181600588	0.0	0.1405242103238989	0.0009268335537396981	3.8927637293657464	4.44361863383543	-0.0018165937653298082	0.0018165937653298082	0.06510443948741246	1.4275056932682497	3632.160783969797	0.0	NA	3626.160783969797	-1138940.4145392552	-1140756.49493124	ok	0.0
ZNF263_loMNase_fragL_dist	200000	-0.943995242332481	7.748859090845718	0.08206868732331478	0.1775732628035794	-1.104849869486178	-0.7831406151787841	7.400815495750702	8.096902685940734	0.10526895680109764	1.8508548363633783	11949.231360774953	0.0	NA	11943.231360774953	-1134781.8792508526	-1140756.49493124	ok	0.0
ETS1_loMNase_fragL_dist	200000	5.790195757633197	0.0	0.1760142898223792	NA	5.445207749581334	6.13518376568506	NA	NA	0.10621444406200341	1.705851457831995	9760.083321167622	0.0	NA	9754.083321167622	-1135876.4532706563	-1140756.49493124	ok	0.0
ATF3_loMNase_fragL_dist	200000	1.9177057805775	0.0	0.19210513267640583	NA	1.5411797205317446	2.2942318406232554	NA	NA	0.14108806099519017	1.9151071759366725	16186.54947739467	0.0	NA	16180.54947739467	-1132663.2201925428	-1140756.49493124	ok	0.0
FOXK1_loMNase_fragL_dist	200000	-10.0	0.0	0.027543220607144182	NA	-10.053984712390003	-9.946015287609997	NA	NA	0.0507174393998857	1.3363902754316073	2326.267942410428	0.0	NA	2320.267942410428	-1139593.360960035	-1140756.49493124	ok	0.0
FOS_loMNase_fragL_dist	200000	8.990356650859688	0.0	0.1862350195872934	0.0009268259058609843	8.625336012468592	9.355377289250784	-0.0018165787754875291	0.0018165787754875291	0.15122979838090325	1.9943980567571957	18589.034833109472	0.0	NA	18583.034833109472	-1131461.9775146854	-1140756.49493124	ok	0.0
GABPA_loMNase_fragL_dist	200000	5.6846875868609015	0.0	0.18962933913848123	0.0009268267783455492	5.313014082149478	6.056361091572325	-0.0018165804855572764	0.0018165804855572764	0.11572976372273194	1.7718462074695318	11390.906941507477	0.0	NA	11384.906941507477	-1135061.0414604864	-1140756.49493124	ok	0.0
TEAD4_loMNase_fragL_dist	200000	-3.2972565407012637	0.0	0.1552733810786642	NA	-3.6015923676154458	-2.9929207137870817	NA	NA	0.06151220148965361	1.3850597760777943	3396.1733580399305	0.0	NA	3390.1733580399305	-1139058.4082522201	-1140756.49493124	ok	0.0
ATF1_loMNase_fragL_dist	200000	0.12370768605709202	1.4365483942912045	0.1687731954089495	0.35856382719227814	-0.20708777694444896	0.45450314905863304	0.7337632929943394	2.13933349558807	0.08202617129861317	1.5562638608886954	5932.932310154196	0.0	NA	5926.932310154196	-1137790.028776163	-1140756.49493124	ok	0.0
JUNB_loMNase_fragL_dist	200000	9.351317664265235	0.0	0.19064765873660322	NA	8.977648253141492	9.724987075388977	NA	NA	0.14757730194874857	1.9616411837905545	17682.642517973203	0.0	NA	17676.642517973203	-1131915.1736722535	-1140756.49493124	ok	0.0
MEF2A_loMNase_fragL_dist	200000	10.0	0.0	0.7704105364021534	NA	8.48999534865178	11.51000465134822	NA	NA	0.038074887515799426	1.2452064562647494	1216.6746834684163	1.7673931168358e-263	NA	1210.6746834684163	-1140148.157589506	-1140756.49493124	ok	1.9087845661826643e-263
FOXK2_loMNase_fragL_dist	200000	-10.0	0.0	0.038837015555716926	0.20109994732472283	-10.076120550489206	-9.923879449510794	-0.39415589675645674	0.39415589675645674	0.05714158399922174	1.352350295898306	2838.43451008806	0.0	NA	2832.43451008806	-1139337.277676196	-1140756.49493124	ok	0.0
CUX1_loMNase_fragL_dist	200000	10.0	0.0	0.2535048199047591	0.0009268296861975518	9.503130552986672	10.496869447013328	-0.0018165861849472015	0.0018165861849472015	0.055442248269962364	1.3468426994138325	2468.0652694087476	0.0	NA	2462.0652694087476	-1139522.4622965357	-1140756.49493124	ok	0.0
MITF_loMNase_fragL_dist	200000	3.514809107338526	2.3392106590639172	0.11187927915179731	0.2384561857213207	3.2955257202010033	3.734092494476049	1.8718365350501287	2.8065847830777058	0.1130717061251103	1.8045409676077326	11444.672398332972	0.0	NA	11438.672398332972	-1135034.1587320736	-1140756.49493124	ok	0.0
NEUROD1_loMNase_fragL_dist	200000	-0.9974104292012234	11.975620579646254	0.0692748205853008	0.15811920184099745	-1.1331890775484128	-0.8616317808540338	11.665706944037899	12.285534215254609	0.1572121973524994	2.4757482652589933	25245.257143640425	0.0	NA	25239.257143640425	-1128133.86635942	-1140756.49493124	ok	0.0
E2F6_loMNase_fragL_dist	200000	-1.5229521499059404	8.496173628848307	0.1257422820387194	0.2727703859280533	-1.7694070227018304	-1.2764972771100505	7.961543672429323	9.030803585267291	0.09137737891677129	1.731412210997316	9018.286572524812	0.0	NA	9012.286572524812	-1136247.3516449777	-1140756.49493124	ok	0.0
EGR1_loMNase_fragL_dist	200000	2.885947107824928	14.180061647693053	0.06583446057826695	0.15843715704937694	2.756911565091525	3.014982650558331	13.869524819876274	14.490598475509833	0.12454587058490174	2.189598572120809	18496.215681775473	0.0	NA	18490.215681775473	-1131508.3870903524	-1140756.49493124	ok	0.0
FOSL1_loMNase_fragL_dist	200000	-10.0	0.0	0.1846034846181823	0.0013107383713947594	-10.361822829851636	-9.638177170148364	-0.0025690472079337285	0.0025690472079337285	0.15940603459876945	2.089441289865906	20406.81464959355	0.0	NA	20400.81464959355	-1130553.0876064433	-1140756.49493124	ok	0.0
LEF1_loMNase_fragL_dist	200000	-6.09452089333032	0.9773756892768276	0.14588411693860537	0.30125266769124276	-6.380453762529987	-5.808588024130653	0.3869204606019918	1.5678309179516634	0.06124687098560222	1.394286855311252	3207.752751784399	0.0	NA	3201.752751784399	-1139152.618555348	-1140756.49493124	ok	0.0
ELK1_loMNase_fragL_dist	200000	2.621302615586992	4.796073456723015	0.08294591927022513	0.17678100270185493	2.458728613817351	2.783876617356633	4.449582691427379	5.142564222018651	0.12279733778810836	1.9453211093474463	14073.839183305856	0.0	NA	14067.839183305856	-1133719.5753395872	-1140756.49493124	ok	0.0
KLF10_loMNase_fragL_dist	200000	0.551731641722951	13.28692546016275	0.06069461661188239	0.14257574664852662	0.4327701931636615	0.6706930902822404	13.007476996731638	13.566373923593863	0.12280592740678353	2.0712029292926744	18056.207487995736	0.0	NA	18050.207487995736	-1131728.3911872422	-1140756.49493124	ok	0.0
STAT5A_loMNase_fragL_dist	200000	-10.0	0.0	0.32894991143288577	0.000756751694230904	-10.644741826408456	-9.355258173591544	-0.001483233320692572	0.001483233320692572	0.06525759139413129	1.4244943131445154	3579.5944500900805	0.0	NA	3573.5944500900805	-1138966.697706195	-1140756.49493124	ok	0.0
RUNX1_loMNase_fragL_dist	200000	0.675189795780933	0.0	0.16345570770671705	NA	0.35481660867576753	0.9955629828860983	NA	NA	0.09377841265321357	1.6236929338958157	7763.023812997621	0.0	NA	7757.023812997621	-1136874.9830247413	-1140756.49493124	ok	0.0
ELF1_loMNase_fragL_dist	200000	-1.274667889797503	4.0882264129105526	0.0887505345240015	0.18976970510658187	-1.448618937464546	-1.10071684213046	3.716277790901652	4.460175034919453	0.12458664593300585	1.9720404818253152	14333.52196530113	0.0	NA	14327.52196530113	-1133589.7339485895	-1140756.49493124	ok	0.0
ATF7_loMNase_fragL_dist	200000	-2.081524982809794	0.0	0.31271750366075535	0.0007567610819312686	-2.6944512899848743	-1.4685986756347136	-0.0014832517205852864	0.0014832517205852864	0.08987644124805652	1.5743571297357217	6924.390864212066	0.0	NA	6918.390864212066	-1137294.299499134	-1140756.49493124	ok	0.0
THRA_loMNase_fragL_dist	200000	-5.474764971119339	4.897043206314747	0.1093980830310612	0.22839323802993372	-5.6891852138602195	-5.260344728378459	4.449392459776076	5.344693952853417	0.07678001090954428	1.6035714105833343	5881.361396054272	0.0	NA	5875.361396054272	-1137815.814233213	-1140756.49493124	ok	0.0
STAT5B_loMNase_fragL_dist	200000	-10.0	0.0	0.32875357668783883	0.0007567445888651555	-10.644357010308164	-9.355642989691836	-0.0014832193941757047	0.0014832193941757047	0.057677643403374626	1.3607195549969544	2756.0713895955123	0.0	NA	2750.0713895955123	-1139378.4592364423	-1140756.49493124	ok	0.0
