feature,cutoff,margin,separable,auc,WRS_p,TF_higher,WRS_significant,loo_acc,loo_sens,loo_spec
V-channel width (bp),6.7256,5.5808,True,1.0,0.007546234490451711,True,True,1.0,1.0,1.0
log2(V-in/V-out),0.6492,0.278,True,1.0,0.004329004329004329,True,True,1.0,1.0,1.0
2D rule (width AND E),width>=6.726 & E>=0.649,,,,,,,1.0,1.0,1.0
