motif	n	apex_x	apex_y_channel_width	se_apex_x	se_apex_y	apex_x_lo	apex_x_hi	apex_y_lo	apex_y_hi	pi_enrichment	enrichment_fold	LR	p_chi2	p_perm	delta_aic	loglik_full	loglik_null	status	q_chi2
CREB1	3519	0.6534493658499027	12.306405747849603	0.6126164895839608	1.30884963724996	-0.5472789537346604	1.8541776854344656	9.74106045883968	14.871751036859525	0.12584211807674806	1.9231575990866896	264.5705844340264	4.613926727782462e-57	NA	258.5705844340264	-19939.325236098157	-20071.61052831517	ok	4.6139267277824623e-57
CREM	10503	-3.2234997012402338	20.638879848888237	0.4593972047168962	1.0805454684193354	-4.123918222485351	-2.323081179995117	18.52101073078634	22.756748966990134	0.10186529891615846	1.9015794965066073	638.5617982016702	4.398325786312034e-138	NA	632.5617982016702	-59587.54643221325	-59906.82733131408	ok	6.59748867946805e-138
CTCF	61499	2.7415951017297497	24.504979675750032	0.09340401175926377	0.2301589132750987	2.558523238681593	2.9246669647779067	24.05386820573084	24.956091145769225	0.2682770990300258	4.064624697874779	21903.14815217757	0.0	NA	21897.14815217757	-339825.3443327929	-350776.9184088817	ok	0.0
NFIC	4118	-0.7966116450406994	25.380134150192156	0.16373617162150342	0.41027743830895724	-1.117534541418846	-0.4756887486625527	24.5759903711066	26.184277929277712	0.3470966969677078	5.5679402320690565	2757.420422956624	0.0	NA	2751.420422956624	-22109.466019155923	-23488.176230634235	ok	0.0
ZBTB33	6219	9.112902922602403	37.57699344206884	0.471748696573636	1.375579898643651	8.188275477318077	10.03753036788673	34.88085684072728	40.2731300434104	0.08204655220644175	2.0960684110165477	393.43083437380847	5.862107194558533e-85	NA	387.43083437380847	-35275.10779270001	-35471.82320988691	ok	7.03452863347024e-85
ZNF281	12732	-0.4119318926588521	20.62915928247951	0.19092929075071305	0.4327572952544566	-0.7861533025302496	-0.037710482787454536	19.780954983780774	21.477363581178246	0.15914672345086509	2.393777048720701	1800.384314506693	0.0	NA	1794.384314506693	-71720.36631006941	-72620.55846732276	ok	0.0
